model,mae,rmse,median_ape,within_10pct,within_20pct
random-forest-log,6335.963970097422,11388.915423476925,0.32657380775794725,0.13043478260869565,0.2670807453416149
ridge-log-linear,6558.672596468342,12104.386590143607,0.33375683172745574,0.14285714285714285,0.34782608695652173
nearest-comp-median,6854.2164906832295,12827.717451730656,0.37435812643118654,0.11801242236024845,0.2919254658385093
zip-rate-baseline,7675.269426932026,13043.431492049176,0.43129846358245705,0.07453416149068323,0.2422360248447205
