value_band,holdout_jobs,mae,median_ape,median_actual,median_pred
"(499.999, 7054.53]",41,3389.0066743291113,0.4737090107019598,5471.0,7566.026420113822
"(7054.53, 10249.42]",40,2321.5282515278227,0.21590758875565275,8664.0,9760.162038629034
"(10249.42, 15668.35]",40,4717.3038921661655,0.2669504225343575,12418.5,12211.583293470776
"(15668.35, 103000.0]",40,14989.690994760804,0.4392622135485918,25000.0,13130.248077728083
