pin,property_a,house,street_dir,street_nam,street_typ,apartment,prop_city,prop_zip,land_value,improvemen,total_valu,class,school_dis,numbldgs,bldg_numb,bldg_sf,bldg_story,bldg_yrblt,bldg_desc,quality,condition,acres,sq_feet,centroid_latitude,centroid_longitude,source_county
1711811728,3830 N 101 ST,3830,N,101,ST, ,OMAHA,68134,20400.0,191700.0,212100.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1122.0,1.0,1969.0,Split Entry,Average,Average,0.2,9060.0,41.29318185976454,-96.07140964261811,douglas
1711811850,3554 PARKVIEW DR,3554, ,PARKVIEW,DR, ,OMAHA,68134,20700.0,201600.0,222300.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1292.0,1.0,1963.0,Raised Ranch,Average,Average,0.22,10000.0,41.290973334654545,-96.06640970990571,douglas
1711812894,9628 RUGGLES ST,9628, ,RUGGLES,ST, ,OMAHA,68134,20000.0,220900.0,240900.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1299.0,1.0,1966.0,Mult Level,Average,Average,0.18,8250.0,41.29506089481345,-96.06543009224951,douglas
1711813070,4223 N 101 ST,4223,N,101,ST, ,OMAHA,68134,19900.0,207400.0,227300.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1264.0,1.0,1969.0,Raised Ranch,Average,Average,0.18,8000.0,41.297371899644666,-96.06973300026644,douglas
1711813224,4116 N 101 ST,4116,N,101,ST, ,OMAHA,68134,20800.0,155800.0,176600.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1184.0,1.0,1972.0,Split Entry,Average,Average,0.23,10140.0,41.2964167445721,-96.07066774994709,douglas
1711813342,5035 TERRACE DR,5035, ,TERRACE,DR, ,OMAHA,68134,20200.0,140100.0,160300.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,994.0,1.0,1971.0,Split Entry,Average,Fair,0.19,8643.0,41.30471089211853,-96.06720640089723,douglas
1714770000,2447 SPAULDING ST,2447, ,SPAULDING,ST, ,OMAHA,68111,9600.0,100500.0,110100.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1346.0,1.5,1890.0,1 1/2 Story Fin,Average,Average,0.14,6400.0,41.2939225367487,-95.94918725170561,douglas
1717730000,4106 POLK ST,4106, ,POLK,ST, ,OMAHA,68107,13100.0,172400.0,185500.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,792.0,1.0,1956.0,Ranch,Average,Average,0.16,7367.0,41.192025800853735,-95.97508509917182,douglas
1727650000,2855 BROWNE ST,2855, ,BROWNE,ST, ,OMAHA,68111,5200.0,79400.0,84600.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1281.0,1.5,1910.0,1 1/2 Story Fin,Average,Fair,0.12,5590.0,41.30469194093921,-95.95458065368663,douglas
1730110582,10018 SEWARD ST,10018, ,SEWARD,ST, ,OMAHA,68114,21100.0,325400.0,346500.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,2086.0,2.0,1965.0,2 Story,Average,Average,0.32,14039.0,41.27398687173639,-96.06916274321232,douglas
1730130001,4220 ELLISON AV,4220, ,ELLISON,AV, ,OMAHA,68111,13200.0,105600.0,118800.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,970.0,1.0,1955.0,Ranch,Average,Average,0.22,9648.0,41.30930639105397,-95.97704480214814,douglas
1730960000,4231 ELLISON AV,4231, ,ELLISON,AV, ,OMAHA,68111,14500.0,140400.0,154900.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,864.0,1.0,1956.0,Ranch,Average,Good,0.24,10804.0,41.30916830638371,-95.97805760105125,douglas
1731540000,4868 S 52 ST,4868,S,52,ST, ,OMAHA,68117,12300.0,186400.0,198700.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,964.0,1.0,1957.0,Ranch,Average,Average,0.15,6600.0,41.209963597134205,-95.9959992581516,douglas
1734313242,9734 YATES ST,9734, ,YATES,ST, ,OMAHA,68134,19400.0,185400.0,204800.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1000.0,1.0,1964.0,Mult Level,Average,Average,0.19,8432.0,41.27856637883637,-96.06599370672254,douglas
1736610000,3627 DREXEL ST,3627, ,DREXEL,ST, ,OMAHA,68107,12600.0,192600.0,205200.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1128.0,1.5,1956.0,1 1/2 Story Fin,Average,Average,0.15,6875.0,41.19243251873845,-95.9688778709666,douglas
