licensed_company_name,source_county,job_count,median_job_value,median_forest_point_estimate,median_comp_median,median_recommended_band_low,median_recommended_band_high,first_seen,last_seen
"MERCURY CONTRACTORS, INC",douglas,1,5250.0,6332.016071682683,9287.575,5026.95,20029.40299999999,2025-11-20,2025-11-20
1351 Kavan Street,douglas,1,5000.0,8135.720604298863,9727.0,4339.1849999999995,25972.29999999999,2026-04-12,2026-04-12
LIBERTY CONTRACTORS,douglas,1,5000.0,8937.94111228572,8800.0,2425.0,16124.999999999998,2026-03-22,2026-03-22
MENDOZA CONSTRUCTION LLC,douglas,1,5000.0,6135.018136215782,11500.0,4307.055,26534.399999999987,2025-11-14,2025-11-14
OMAHA ROOFING & EXTERIORS,douglas,1,5000.0,5813.217604603603,5697.925,1389.4850000000001,18499.999999999993,2026-04-12,2026-04-12
"PANDO CONSTRUCTION, LLC",douglas,1,5000.0,6754.111326813284,11588.0,5155.1,21657.7,2026-02-05,2026-02-05
KW ENTERPRISE,douglas,1,4800.0,7463.742388269542,12321.65,6933.4565,24298.749999999996,2025-11-13,2025-11-13
ALFA Y OMEGA CONSTRUCTION INC,douglas,1,4500.0,7605.860765484337,11500.0,3841.797,31356.999999999993,2026-02-13,2026-02-13
LORSAL CONSTRUCTION LLC,douglas,1,4500.0,6335.3136572281055,7250.0,500.0,10899.999999999998,2026-01-11,2026-01-11
McCright Properties LLC,douglas,1,4500.0,7392.132664994302,8000.0,5182.253,13946.499999999995,2026-01-26,2026-01-26
DREAMHOME RESTORATION,douglas,1,4192.14,8930.758121002542,13500.0,4011.12,24816.737499999996,2026-04-02,2026-04-02
ALCOVE COMPANIES,douglas,1,4000.0,8430.899115512744,11005.65,6713.25,17725.0,2025-11-18,2025-11-18
SULLIVAN VENTURES LLC,douglas,1,4000.0,5579.866187223516,7142.555,2100.0,23037.499999999996,2026-03-26,2026-03-26
JASTORFFINC,douglas,1,3700.0,4388.874294883131,7250.0,2397.0,10990.485999999999,2025-11-03,2025-11-03
PAUL DAVIS SYSTEMS,douglas,1,3600.0,5814.921726539918,10750.0,2650.0,23037.499999999996,2025-11-03,2025-11-03
"THE OLAM, LLC",douglas,1,2000.0,5103.839010741856,8810.0,2764.4850000000006,20227.096499999992,2026-03-19,2026-03-19
7417 plum dale rd,douglas,1,1700.0,4161.365321480895,6688.0,1875.0,12400.844,2025-11-26,2025-11-26
19886 Northern Pine Road,douglas,1,1660.0,4689.17577371044,6541.0,2415.0,10990.485999999999,2026-04-13,2026-04-13
MENDOZA COMPANY,douglas,1,1500.0,2164.4824261634526,6600.0,500.0,13975.325499999995,2026-01-08,2026-01-08
PEREZ CONSTRUCTION,douglas,1,1500.0,3094.2066310222167,6445.995,2975.0,15677.499999999998,2026-02-16,2026-02-16
PO Box 6602,douglas,1,1365.0,4012.1494080531884,9704.5,2965.706,15450.0,2025-11-05,2025-11-05
