licensed_company_name,source_county,job_count,median_job_value,median_forest_point_estimate,median_comp_median,median_recommended_band_low,median_recommended_band_high,first_seen,last_seen
Unknown,douglas,4,14250.0,10307.643667800905,7209.385,2202.478,13349.999999999998,2025-11-18,2026-03-30
"DOLL HOUSE INVESTMENTS, LLC DBA DHI",douglas,4,13370.455,10107.258585179385,9530.75,1300.0,17947.600749999998,2025-11-06,2026-01-13
BLU GENERAL CONTRACTING,douglas,4,12050.0,8283.109193841601,9967.2625,3382.6500000000005,19672.97825,2025-11-07,2026-04-06
MCCRIGHT PROPERTIES LLC,douglas,4,4750.0,6977.335353786341,9550.0,4876.965749999999,17857.329749999997,2025-12-02,2026-03-16
"EBW,LLC",douglas,3,34000.0,16971.5804427727,10300.0,4005.0,31650.59999999999,2025-11-17,2026-03-22
FIRST CHOICE GUTTERS & SIDING,douglas,3,20000.0,25937.44833991271,16118.0,9550.0,65049.999999999956,2025-11-03,2026-03-02
RELIABLE ROOFING GUTTERS & SIDING,douglas,3,15667.7,13070.506134691537,17006.35,3449.443,116999.99999999996,2026-03-03,2026-03-25
COMBOVER LLC,douglas,3,14843.0,13073.094721881163,12902.060000000001,7007.814,26534.399999999987,2026-03-12,2026-04-08
NELSON CONTRACTING LLC,douglas,3,13300.3,12620.054568837844,12250.0,4974.8550000000005,28212.35,2026-01-05,2026-03-16
PINNACLE CONSTRUCTION,douglas,3,12000.0,12100.978436182977,9706.630000000001,4249.1,24594.526999999987,2026-02-13,2026-04-08
DREW'S UNITED ROOFING & SIDING OF NE INC,douglas,3,9700.0,8470.490680423496,8824.0,2700.0,15585.0,2025-11-06,2026-03-20
ORLANDO'S LANDSCAPING & CONCRETE LLC,douglas,3,9700.0,6820.477090238844,9950.0,2430.0,20029.40299999999,2025-11-13,2026-03-06
A&G ROOFING,douglas,3,9000.0,8101.342535828347,9565.5,4011.12,17395.1865,2025-11-13,2026-01-12
NEBRASKALAND ROOFING,douglas,3,8600.0,9936.606337921356,12142.0,4307.055,26534.399999999987,2026-02-04,2026-03-31
TCI GENERAL CONTRACTING SERVICES,douglas,3,8500.0,8101.658544431377,8585.41,4394.2785,15408.15,2025-11-05,2025-11-22
BELL CONTRACTING LLC,douglas,3,7000.0,6982.0705764291115,7900.0,4218.4425,23560.79999999999,2026-03-09,2026-03-19
ONYX ROOFING LLC,douglas,3,6000.0,7130.798237816798,8824.0,2745.1000000000004,14069.999999999996,2025-11-04,2026-02-09
WARREN ROOFING,douglas,3,6000.0,7906.475636674145,8063.5,4817.5914999999995,31194.999999999996,2025-11-02,2026-03-17
TEN PENNY EXTERIORS,douglas,3,5200.0,5387.285029294982,7560.0,4005.0,15907.599999999995,2026-01-09,2026-03-17
PREMIER ROOFING COMPANY,douglas,3,4914.0,6255.561701904337,7484.8150000000005,1160.0,14512.699999999999,2025-11-04,2026-04-01
ARTISAN ROOFING,douglas,3,4500.0,8445.293512431892,14576.5,7345.418,25760.413499999995,2026-01-08,2026-04-08
HERNANDEZ CONSTRUCTION CO LLC,douglas,3,4500.0,5396.069856967416,7250.0,2782.0,13066.980999999998,2026-01-12,2026-04-09
PEERLESS HOMES,douglas,3,1000.0,3604.9579579902456,6600.0,1160.0,11275.325499999999,2025-11-05,2026-04-06
CIACCIO ROOFING CORP,douglas,2,42500.0,38593.947753746004,18650.0,8289.964,88844.8115,2026-01-28,2026-03-18
BB Roofing,douglas,2,41321.69,32421.43598706123,19124.7625,10036.27375,60494.99999999997,2025-11-13,2026-02-13
EVEN-EZER CONSTRUCTION INC,douglas,2,35000.0,30170.188361441447,16497.14,7460.888000000001,42887.39974999999,2025-12-11,2026-04-08
EVOLVECONSTRUCTION.COM,douglas,2,29073.035000000003,18318.05918625797,8878.8675,5318.6025,26412.75,2025-11-24,2025-11-24
"MEDALLION ROOFING, LLC DBA TIMEPROOFUSA",douglas,2,22195.52,14142.939477880413,10373.939999999999,4617.69925,27330.81224999998,2026-03-20,2026-03-26
